pid	mz	mzmin	mzmax	rt	rtmin	rtmax	into	intb	maxo	sn	egauss	mu	sigma	h	f	dppm	scale	scpos	scmin	scmax	lmin	lmax	sample	is_filled	comp	cls	cid
24	523.200012207031	523.200012207031	523.200012207031	3344.888	3305.764	3380.882	7403556.52695833	7281922.05883602	251072	131	NA	NA	NA	NA	3647	0	14	540	526	554	71	119	1	0	4	4	4
25	328.200012207031	328.200012207031	328.200012207031	3618.755	3589.021	3650.054	7046298.97371794	6998571.16771794	320704	318	NA	NA	NA	NA	4209	0	10	715	705	725	77	116	1	0	16	16	16
27	577.299987792969	577.299987792969	577.299987792969	4122.67	4099.196	4150.839	6091823.92939394	6050383.45530386	457024	273	NA	NA	NA	NA	5154	0	10	1037	1027	1047	78	111	1	0	17	17	17
28	523.200012207031	523.200012207031	523.200012207031	3410.616	3377.752	3445.045	5988150.5475349	5865467.88666168	173440	90	NA	NA	NA	NA	3647	0	10	582	572	592	117	160	1	0	9	9	9
29	503.100006103516	503.100006103516	503.100006103516	3158.659	3127.359	3186.828	5481789.82105264	5126047.12853051	223104	20	NA	NA	NA	NA	2399	0	10	421	411	431	85	123	1	0	7	7	7
30	326.200012207031	326.200012207031	326.200012207031	3415.311	3387.142	3446.61	5279661.37189476	5243361.02423795	232896	252	NA	NA	NA	NA	3239	0	10	585	575	595	78	116	1	0	18	18	18
31	344	344	344	2678.218	2646.919	2714.212	5243672.43900001	5048203.98155592	152320	24	NA	NA	NA	NA	612	0	10	114	104	124	78	121	1	0	5	5	5
32	532.200012207031	532.200012207031	532.200012207031	3476.344	3420.006	3515.468	5202245.50862295	4887097.93377789	140672	28	NA	NA	NA	NA	3590	0	12	624	612	636	79	140	1	0	19	19	19
33	527.100036621094	527.100036621094	527.100036621094	3168.048	3139.879	3197.782	5199885.01824327	4799701.09265533	217344	15	NA	NA	NA	NA	2420	0	10	427	417	437	66	103	1	0	6	6	6
34	524.200012207031	524.200012207031	524.200012207031	3596.845	3565.546	3634.404	5195624.05163638	5077091.99644943	158848	108	NA	NA	NA	NA	4672	0	10	701	691	711	88	132	1	0	20	20	20
36	300.200012207031	300.200012207031	300.200012207031	3380.882	3351.148	3412.181	4752055.9841282	4718486.22630417	218112	172	NA	NA	NA	NA	3126	0	10	563	553	573	69	108	1	0	21	21	21
37	466.200012207031	466.200012207031	466.200012207031	3684.483	3650.054	3723.607	4736919.61710638	4696046.70164383	133248	184	NA	NA	NA	NA	4534	0	10	757	747	767	83	130	1	0	22	22	22
39	426.200012207031	426.200012207031	426.200012207031	4107.02	4042.857	4172.748	4466056.33756625	4440714.40838322	73136	234	NA	NA	NA	NA	5177	0	20	1027	1007	1047	69	152	1	0	23	23	23
42	301	301	301	2784.635	2725.166	2839.408	3977247.59230136	3861191.56911577	118512	99	NA	NA	NA	NA	1102	0	18	182	164	200	79	152	1	0	8	8	8
43	568.200012207031	568.200012207031	568.200012207031	3191.523	3164.918	3221.257	3882730.51272222	3659930.1230801	160192	21	NA	NA	NA	NA	2502	0	10	442	432	452	78	114	1	0	24	24	24
44	544.200012207031	544.200012207031	544.200012207031	3185.263	3163.353	3216.562	3612274.50158822	3505614.20731833	145600	32	NA	NA	NA	NA	2513	0	10	438	428	448	78	112	1	0	25	25	25
45	367.200012207031	367.200012207031	367.200012207031	3517.033	3482.604	3559.287	3539361.7684898	3051177.24748081	84960	16	NA	NA	NA	NA	3803	0	10	650	640	660	72	121	1	0	1	1	1
46	398.200012207031	398.200012207031	398.200012207031	3648.489	3593.716	3689.178	3515746.5237377	3473800.31084842	63200	92	NA	NA	NA	NA	4562	0	10	734	724	744	85	146	1	0	26	26	26
47	412.300018310547	412.300018310547	412.300018310547	4099.196	4071.026	4124.235	3477762.14958822	3466109.55009185	183936	212	NA	NA	NA	NA	5119	0	10	1022	1012	1032	73	107	1	0	27	27	27
49	366	366	366	2679.783	2642.224	2718.907	3365173.98655102	3188189.70830221	79928	16	NA	NA	NA	NA	643	0	10	115	105	125	78	127	1	0	5	5	5
50	483.200012207031	483.200012207031	483.200012207031	3592.151	3498.253	3651.619	3312544.40920408	3195872.67175538	73248	68	NA	NA	NA	NA	4039	0	20	698	678	718	68	166	1	0	28	28	28
51	281.200012207031	281.200012207031	281.200012207031	3659.444	3631.274	3698.567	3301238.08465117	3277338.15785219	101120	86	NA	NA	NA	NA	4392	0	10	741	731	751	73	116	1	0	29	29	29
52	497.200012207031	497.200012207031	497.200012207031	3316.719	3286.985	3352.713	3251467.13295238	3032138.52238792	124184	12	NA	NA	NA	NA	2980	0	10	522	512	532	73	115	1	0	11	11	11
55	482.200012207031	482.200012207031	482.200012207031	3537.377	3506.078	3565.546	3173210.91505262	2851583.04640307	94160	16	NA	NA	NA	NA	3824	0	10	663	653	673	78	116	1	0	30	30	30
56	534.200012207031	534.200012207031	534.200012207031	3578.066	3554.592	3610.93	3068430.39066665	3032205.96534407	117080	117	NA	NA	NA	NA	4119	0	10	689	679	699	78	114	1	0	31	31	31
59	455.100006103516	455.100006103516	455.100006103516	3277.595	3247.861	3307.329	3009489.25126317	2923367.05696541	138688	50	NA	NA	NA	NA	2900	0	10	497	487	507	67	105	1	0	10	10	10
60	465.200012207031	465.200012207031	465.200012207031	3456	3423.136	3493.559	2818830.81073334	2731640.92293922	103952	32	NA	NA	NA	NA	3393	0	10	611	601	621	65	110	1	0	12	12	12
61	578.400024414062	578.400024414062	578.400024414062	4124.235	4102.325	4152.404	2739172.62796878	2724732.30793249	187328	285	NA	NA	NA	NA	5156	0	10	1038	1028	1048	74	106	1	0	17	17	17
62	452.100006103516	452.100006103516	452.100006103516	3067.891	3036.592	3102.32	2734375.5672381	2644466.39467711	96216	27	NA	NA	NA	NA	2124	0	10	363	353	373	68	110	1	0	32	32	32
63	280	280	280	2784.635	2756.465	2812.804	2732108.16091666	2615310.04997203	142976	20	NA	NA	NA	NA	916	0	10	182	172	192	68	104	1	0	8	8	8
64	537.200012207031	537.200012207031	537.200012207031	3704.827	3671.963	3737.691	2707270.59199998	2673499.92926573	99720	120	NA	NA	NA	NA	4545	0	10	770	760	780	74	116	1	0	14	14	14
67	526.200012207031	526.200012207031	526.200012207031	3665.703	3632.839	3706.392	2635325.74212766	2428094.77774849	68376	14	NA	NA	NA	NA	4609	0	10	745	735	755	74	121	1	0	2	2	2
68	430.100006103516	430.100006103516	430.100006103516	2681.348	2637.529	2717.342	2413313.50580392	2343043.62594776	65752	44	NA	NA	NA	NA	674	0	10	116	106	126	78	129	1	0	13	13	13
69	551.200012207031	551.200012207031	551.200012207031	3645.359	3623.45	3676.658	2393610.39317647	2271606.31700949	97824	17	NA	NA	NA	NA	4297	0	10	732	722	742	74	108	1	0	15	15	15
70	304.100006103516	304.100006103516	304.100006103516	2923.916	2892.616	2955.215	2342996.06135001	2099262.34214812	94576	55	NA	NA	NA	NA	1795	0	10	271	261	281	80	120	1	0	33	33	33
71	510.200012207031	510.200012207031	510.200012207031	3748.646	3720.477	3789.335	2314548.99327273	2197553.69820822	61368	47	NA	NA	NA	NA	4696	0	10	798	788	808	78	122	1	0	34	34	34
72	551.200012207031	551.200012207031	551.200012207031	3576.501	3543.637	3612.495	2213672.02327272	2091892.4273795	72544	16	NA	NA	NA	NA	3950	0	16	688	672	704	69	113	1	0	31	31	31
73	381	381	381	2679.783	2637.529	2717.342	2172433.17692157	1986174.28841338	52504	17	NA	NA	NA	NA	644	0	10	115	105	125	78	129	1	0	5	5	5
74	447.200012207031	447.200012207031	447.200012207031	3859.758	3808.114	3909.836	2172076.12581538	2036058.52671822	61256	40	NA	NA	NA	NA	4877	0	16	869	853	885	79	144	1	0	35	35	35
78	205	205	205	2786.2	2756.465	2817.499	2024095.58158973	1925166.47781734	84280	57	NA	NA	NA	NA	1087	0	10	183	173	193	80	119	1	0	8	8	8
83	498.200012207031	498.200012207031	498.200012207031	3385.577	3363.667	3421.571	1880491.86897297	1751304.53563964	56856	19	NA	NA	NA	NA	3234	0	10	566	556	576	78	115	1	0	3	3	3
84	313	313	313	2784.635	2753.336	2815.934	1808237.12700001	1771728.35796775	74080	72	NA	NA	NA	NA	1048	0	10	182	172	192	68	108	1	0	36	8	36
85	438.300018310547	438.300018310547	438.300018310547	4049.117	4019.383	4075.721	1771830.10000001	1763255.06194826	101424	311	NA	NA	NA	NA	5073	0	10	990	980	1000	72	108	1	0	37	36	37
86	494.200012207031	494.200012207031	494.200012207031	3418.441	3390.272	3443.48	1743813.95294118	1681241.66650443	59792	33	NA	NA	NA	NA	3288	0	10	587	577	597	78	112	1	0	38	37	38
87	579.100036621094	579.100036621094	579.100036621094	2786.2	2756.465	2809.674	1705174.7382647	1697660.25432922	87656	280	NA	NA	NA	NA	968	0	10	183	173	193	80	114	1	0	8	8	8
88	329.200012207031	329.200012207031	329.200012207031	3618.755	3596.845	3646.924	1656500.64225001	1642804.73248267	75544	165	NA	NA	NA	NA	4125	0	10	715	705	725	78	110	1	0	16	16	16
89	533.200012207031	533.200012207031	533.200012207031	3476.344	3423.136	3510.773	1566901.04666072	1523174.09602679	45824	54	NA	NA	NA	NA	3555	0	12	624	612	636	72	128	1	0	19	19	19
90	525.200012207031	525.200012207031	525.200012207031	3596.845	3568.676	3632.839	1562511.46056098	1515416.29019011	50520	69	NA	NA	NA	NA	4647	0	10	701	691	711	76	117	1	0	20	20	20
91	478.200012207031	478.200012207031	478.200012207031	3625.015	3592.151	3657.879	1551266.87238095	1415947.24076712	54784	23	NA	NA	NA	NA	4117	0	10	719	709	729	72	114	1	0	39	38	39
92	505.200012207031	505.200012207031	505.200012207031	3252.556	3221.257	3288.55	1520460.29574419	1422433.27065578	68408	22	NA	NA	NA	NA	2732	0	12	481	469	493	69	112	1	0	40	39	40
94	356.200012207031	356.200012207031	356.200012207031	3819.069	3794.03	3851.933	1293312.01832432	1285247.49848997	53768	178	NA	NA	NA	NA	4771	0	10	843	833	853	77	114	1	0	41	40	41
95	569.200012207031	569.200012207031	569.200012207031	3191.523	3169.613	3221.257	1289672.74763637	1216215.74980324	55736	21	NA	NA	NA	NA	2503	0	10	442	432	452	78	111	1	0	24	24	24
96	305.100006103516	305.100006103516	305.100006103516	2923.916	2895.746	2955.215	1274941.80623684	1099040.58152037	45656	35	NA	NA	NA	NA	1932	0	10	271	261	281	68	106	1	0	33	33	33
97	448.200012207031	448.200012207031	448.200012207031	3747.081	3709.522	3817.504	1272982.58347826	1081182.55547826	21672	10	NA	NA	NA	NA	4686	0	12	797	785	809	78	147	1	0	34	34	34
98	286.200012207031	286.200012207031	286.200012207031	3252.556	3232.211	3283.855	1272055.88375758	1218622.18012454	78048	12	NA	NA	NA	NA	2795	0	10	481	471	491	66	99	1	0	40	39	40
99	467.200012207031	467.200012207031	467.200012207031	3684.483	3650.054	3723.607	1250311.79742553	1198055.55299708	35680	24	NA	NA	NA	NA	4553	0	10	757	747	767	66	113	1	0	22	22	22
100	524.200012207031	524.200012207031	524.200012207031	3410.616	3390.272	3449.74	1250191.06915789	1105424.15222456	34272	13	NA	NA	NA	NA	3327	0	10	582	572	592	78	116	1	0	9	9	9
101	354.200012207031	354.200012207031	354.200012207031	3610.93	3581.196	3642.229	1236911.9924359	1194322.31693465	62056	61	NA	NA	NA	NA	4008	0	10	710	700	720	80	119	1	0	42	41	42
102	327.200012207031	327.200012207031	327.200012207031	3415.311	3387.142	3446.61	1220067.39726316	1215308.72044992	50504	145	NA	NA	NA	NA	3282	0	10	585	575	595	73	111	1	0	18	18	18
103	313.100006103516	313.100006103516	313.100006103516	3276.03	3249.426	3305.764	1213736.48233334	1163576.65790526	55392	50	NA	NA	NA	NA	2850	0	10	496	486	506	75	111	1	0	10	10	10
104	520.200012207031	520.200012207031	520.200012207031	3188.393	3168.048	3219.692	1182614.73563637	1075267.20424243	45992	12	NA	NA	NA	NA	2560	0	10	440	430	450	78	111	1	0	43	42	43
105	545.200012207031	545.200012207031	545.200012207031	3185.263	3153.964	3216.562	1169136.5862	1109914.75144829	46392	19	NA	NA	NA	NA	2499	0	10	438	428	448	72	112	1	0	25	25	25
107	429.200012207031	429.200012207031	429.200012207031	4028.773	4000.603	4047.552	1119564.6336	1078421.48209621	42512	32	NA	NA	NA	NA	5112	0	12	977	965	989	110	140	1	0	44	43	44
108	427.200012207031	427.200012207031	427.200012207031	4107.02	4058.507	4149.274	1098717.32056897	981906.805083258	21928	11	NA	NA	NA	NA	5164	0	10	1027	1017	1037	73	131	1	0	23	23	23
109	366.100006103516	366.100006103516	366.100006103516	2784.635	2720.472	2828.453	1086091.67730435	1012303.56732201	27456	25	NA	NA	NA	NA	999	0	14	182	168	196	66	135	1	0	8	8	8
110	426.200012207031	426.200012207031	426.200012207031	4177.443	4149.274	4232.217	1085892.88592452	1068786.96942594	26016	83	NA	NA	NA	NA	5177	0	10	1072	1062	1082	137	190	1	0	45	44	45
112	535.200012207031	535.200012207031	535.200012207031	3578.066	3546.767	3610.93	1045766.13282927	983945.811210658	39264	16	NA	NA	NA	NA	3914	0	10	689	679	699	70	111	1	0	31	31	31
114	309.100006103516	309.100006103516	309.100006103516	2923.916	2894.181	2956.78	987205.009700002	894454.879779797	38888	31	NA	NA	NA	NA	1545	0	10	271	261	281	72	112	1	0	33	33	33
116	413.300018310547	413.300018310547	413.300018310547	4099.196	4069.461	4122.67	971982.887735299	933392.320875912	51520	15	NA	NA	NA	NA	5133	0	10	1022	1012	1032	60	94	1	0	27	27	27
119	400.200012207031	400.200012207031	400.200012207031	4177.443	4150.839	4227.522	953650.132469388	911458.457716103	21552	33	NA	NA	NA	NA	5175	0	10	1072	1062	1082	131	180	1	0	45	44	45
120	413.100006103516	413.100006103516	413.100006103516	3625.015	3599.975	3662.574	945697.177775002	919703.371785276	30920	47	NA	NA	NA	NA	4272	0	10	719	709	729	75	115	1	0	39	38	39
121	301.200012207031	301.200012207031	301.200012207031	3379.317	3363.667	3402.791	941819.532320006	937115.680597266	47312	89	NA	NA	NA	NA	3097	0	10	562	552	572	78	103	1	0	21	21	21
122	399.200012207031	399.200012207031	399.200012207031	3648.489	3593.716	3682.918	925606.900421055	829093.737409037	16664	11	NA	NA	NA	NA	4255	0	10	734	724	744	60	117	1	0	26	26	26
125	255.199996948242	255.199996948242	255.199996948242	3665.703	3634.404	3678.223	904425.724964285	887340.259531799	47000	19	NA	NA	NA	NA	4299	0	12	745	733	757	64	92	1	0	2	2	2
126	426.100006103516	426.100006103516	426.100006103516	3006.858	2975.559	3036.592	870903.351230768	831311.670740076	41048	36	NA	NA	NA	NA	1755	0	10	324	314	334	74	113	1	0	46	45	46
128	483.200012207031	483.200012207031	483.200012207031	3535.812	3507.643	3562.417	851882.807314284	808469.728118981	25808	23	NA	NA	NA	NA	4039	0	10	662	652	672	74	109	1	0	30	30	30
129	317	317	317	2784.635	2725.166	2836.278	840797.023661969	755444.16385568	24880	22	NA	NA	NA	NA	1023	0	18	182	164	200	69	140	1	0	8	8	8
131	551.299987792969	551.299987792969	551.299987792969	3855.063	3828.459	3883.232	830979.962314288	768579.479733038	37096	19	NA	NA	NA	NA	4822	0	10	866	856	876	72	107	1	0	47	46	47
132	284.100006103516	284.100006103516	284.100006103516	2714.212	2690.737	2743.946	825883.493499997	754962.080657967	34208	27	NA	NA	NA	NA	739	0	10	137	127	147	78	112	1	0	48	47	48
133	410.300018310547	410.300018310547	410.300018310547	3930.181	3894.187	3964.61	818529.658911114	791056.99275982	52304	15	NA	NA	NA	NA	4891	0	12	914	902	926	68	113	1	0	49	48	49
134	385.200012207031	385.200012207031	385.200012207031	3437.22	3404.356	3462.259	809277.367135132	773889.522111157	29232	29	NA	NA	NA	NA	3384	0	10	599	589	609	70	107	1	0	50	49	50
136	442.899993896484	442.899993896484	442.899993896484	2681.348	2646.919	2717.342	787925.388066669	756328.656709287	23040	16	NA	NA	NA	NA	608	0	10	116	106	126	69	114	1	0	13	13	13
137	241.199996948242	241.199996948242	241.199996948242	3671.963	3662.574	3701.697	784970.131680001	762516.916767124	49728	17	NA	NA	NA	NA	4289	0	10	749	739	759	78	103	1	0	51	50	51
142	546.200012207031	546.200012207031	546.200012207031	3657.879	3629.71	3690.743	751765.37028205	659488.781499441	31936	19	NA	NA	NA	NA	4405	0	10	740	730	750	75	114	1	0	52	29	52
144	346.100006103516	346.100006103516	346.100006103516	3491.994	3462.259	3521.728	702338.279842106	675220.801726028	46512	37	NA	NA	NA	NA	3528	0	10	634	624	644	74	112	1	0	53	51	53
145	345	345	345	2678.218	2645.354	2709.517	700331.320243903	661655.289688347	23384	22	NA	NA	NA	NA	572	0	10	114	104	124	65	106	1	0	5	5	5
149	244.100006103516	244.100006103516	244.100006103516	2830.018	2798.719	2859.752	681973.352307691	648433.242758692	31312	44	NA	NA	NA	NA	1136	0	10	211	201	221	71	110	1	0	54	52	54
151	581.400024414062	581.400024414062	581.400024414062	3819.069	3800.289	3855.063	675602.86062857	644779.140495498	26552	24	NA	NA	NA	NA	4769	0	10	843	833	853	78	113	1	0	41	40	41
152	448.200012207031	448.200012207031	448.200012207031	3858.193	3820.634	3889.492	662845.887454547	611994.936216923	18984	13	NA	NA	NA	NA	4873	0	10	868	858	878	90	134	1	0	35	35	35
155	338.200012207031	338.200012207031	338.200012207031	3659.444	3640.664	3689.178	648746.422645157	641539.081618202	36792	104	NA	NA	NA	NA	4294	0	10	741	731	751	78	109	1	0	52	29	52
156	322.200012207031	322.200012207031	322.200012207031	3496.688	3479.474	3520.163	647571.694846152	641387.572637715	46144	146	NA	NA	NA	NA	3612	0	10	637	627	647	78	104	1	0	55	53	55
157	511.200012207031	511.200012207031	511.200012207031	3748.646	3728.302	3789.335	643187.66328205	617519.273445822	18328	22	NA	NA	NA	NA	4651	0	10	798	788	808	78	117	1	0	34	34	34
158	431.100006103516	431.100006103516	431.100006103516	2678.218	2645.354	2711.082	626018.511238096	599363.556279192	17480	24	NA	NA	NA	NA	580	0	10	114	104	124	78	120	1	0	5	5	5
162	305.100006103516	305.100006103516	305.100006103516	3496.688	3466.954	3524.858	600206.259459459	568567.554245859	40800	52	NA	NA	NA	NA	3629	0	10	637	627	647	81	118	1	0	55	53	55
165	552.200012207031	552.200012207031	552.200012207031	3643.794	3620.32	3673.528	583796.611058819	541466.389426167	21032	12	NA	NA	NA	NA	4275	0	10	731	721	741	73	107	1	0	15	15	15
166	594.299987792969	594.299987792969	594.299987792969	3603.105	3585.891	3628.145	575200.572074073	532561.038845315	31880	13	NA	NA	NA	NA	3921	0	10	705	695	715	78	105	1	0	56	54	56
167	361.200012207031	361.200012207031	361.200012207031	3158.659	3132.054	3166.483	574565.236590911	552969.18542964	49408	29	NA	NA	NA	NA	2387	0	10	421	411	431	65	87	1	0	7	7	7
168	546.200012207031	546.200012207031	546.200012207031	3006.858	2972.429	3038.157	574279.620571429	527290.403256361	18736	12	NA	NA	NA	NA	1764	0	10	324	314	334	73	115	1	0	46	45	46
170	249.100006103516	249.100006103516	249.100006103516	3671.963	3645.359	3697.003	573639.642424245	539589.460516399	45392	11	NA	NA	NA	NA	4309	0	10	749	739	759	66	99	1	0	51	50	51
171	371.200012207031	371.200012207031	371.200012207031	3637.534	3609.365	3662.574	573240.90161765	539625.622794725	23880	21	NA	NA	NA	NA	4223	0	10	727	717	737	70	104	1	0	57	55	57
172	309.200012207031	309.200012207031	309.200012207031	3661.009	3628.145	3695.438	572035.883651164	553560.428646385	17824	34	NA	NA	NA	NA	4370	0	10	742	732	752	73	116	1	0	29	29	29
173	538.200012207031	538.200012207031	538.200012207031	3706.392	3675.093	3740.821	570246.738285715	513709.081925637	21664	23	NA	NA	NA	NA	4579	0	10	771	761	781	65	107	1	0	14	14	14
174	399.100006103516	399.100006103516	399.100006103516	2797.154	2768.985	2823.758	554891.178514282	528243.482988937	26720	35	NA	NA	NA	NA	1008	0	10	190	180	200	72	107	1	0	58	56	58
175	439.300018310547	439.300018310547	439.300018310547	4047.552	4020.948	4071.026	549983.1999375	546673.5500625	32200	153	NA	NA	NA	NA	5060	0	10	989	979	999	72	104	1	0	37	36	37
176	566.400024414062	566.400024414062	566.400024414062	3770.555	3740.821	3801.854	548545.824615384	533744.153763259	24256	24	NA	NA	NA	NA	4673	0	10	812	802	822	69	108	1	0	59	57	59
177	302	302	302	2786.2	2758.03	2808.109	545382.219562497	521840.576878636	22064	16	NA	NA	NA	NA	956	0	10	183	173	193	70	102	1	0	8	8	8
178	359.200012207031	359.200012207031	359.200012207031	3704.827	3675.093	3737.691	517563.3939	494661.594034931	18176	26	NA	NA	NA	NA	4506	0	10	770	760	780	78	118	1	0	14	14	14
179	324.100006103516	324.100006103516	324.100006103516	2784.635	2722.037	2833.148	517069.90546479	475020.231306812	14570	26	NA	NA	NA	NA	989	0	16	182	166	198	48	119	1	0	8	8	8
180	580.100036621094	580.100036621094	580.100036621094	2784.635	2754.901	2806.544	516176.479818182	502606.890333334	31192	38	NA	NA	NA	NA	913	0	10	182	172	192	70	103	1	0	8	8	8
182	563.400024414062	563.400024414062	563.400024414062	3819.069	3797.16	3850.368	504159.884470589	476222.983339243	22456	17	NA	NA	NA	NA	4757	0	10	843	833	853	72	106	1	0	41	40	41
183	416.100006103516	416.100006103516	416.100006103516	2679.783	2635.964	2709.517	487698.643851063	449793.691624161	12036	16	NA	NA	NA	NA	599	0	10	115	105	125	75	122	1	0	5	5	5
184	379.100006103516	379.100006103516	379.100006103516	3322.979	3293.245	3341.758	481039.258645161	466919.917647812	38976	45	NA	NA	NA	NA	2936	0	10	526	516	536	70	101	1	0	60	58	60
185	544.200012207031	544.200012207031	544.200012207031	3412.181	3380.882	3426.266	479909.195586207	426907.879963074	20840	12	NA	NA	NA	NA	3196	0	10	583	573	593	65	94	1	0	9	9	9
187	436.200012207031	436.200012207031	436.200012207031	3625.015	3592.151	3670.398	470924.874680002	430913.202188531	12877	18	NA	NA	NA	NA	4080	0	10	719	709	729	71	121	1	0	39	38	39
190	339.100006103516	339.100006103516	339.100006103516	3019.378	3003.728	3028.767	458055.641312496	432170.090085306	29080	17	NA	NA	NA	NA	1783	0	10	332	322	342	78	94	1	0	61	59	61
191	579.400024414062	579.400024414062	579.400024414062	4121.105	4100.76	4138.319	444922.349041669	435334.781877	41328	29	NA	NA	NA	NA	5145	0	10	1036	1026	1046	71	95	1	0	17	17	17
192	395.200012207031	395.200012207031	395.200012207031	3703.262	3673.528	3737.691	440638.62002439	397485.497462412	17664	15	NA	NA	NA	NA	4452	0	10	769	759	779	71	112	1	0	14	14	14
199	495.200012207031	495.200012207031	495.200012207031	3418.441	3404.356	3451.305	426996.460099996	421198.901736983	16968	30	NA	NA	NA	NA	3250	0	10	587	577	597	78	108	1	0	38	37	38
200	335	335	335	2783.07	2756.465	2817.499	421286.402512818	392692.166454863	16856	26	NA	NA	NA	NA	974	0	10	181	171	191	70	109	1	0	36	8	36
201	338.100006103516	338.100006103516	338.100006103516	2786.2	2717.342	2828.453	420115.385830985	375080.184562539	9683	14	NA	NA	NA	NA	978	0	14	183	169	197	47	118	1	0	8	8	8
202	484.200012207031	484.200012207031	484.200012207031	3592.151	3545.202	3623.45	414578.248479998	372825.394371505	13831	11	NA	NA	NA	NA	3909	0	16	698	682	714	59	109	1	0	28	28	28
205	571.100036621094	571.100036621094	571.100036621094	3056.937	3039.722	3081.976	411394.333777777	394667.516559106	17600	24	NA	NA	NA	NA	2032	0	10	356	346	366	78	105	1	0	62	60	62
206	283.200012207031	283.200012207031	283.200012207031	3859.758	3830.024	3887.927	410159.812864867	392700.225448724	24288	31	NA	NA	NA	NA	4826	0	10	869	859	879	67	104	1	0	35	35	35
